,,,,,,Total of Displayed Rows,,,"145,106,561","691,533","145,798,094","147,609,685","65,462,721","213,072,406","219,868,448","124,897,313","344,765,761",
Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2025 Actuals,FY 2025 Reconciliation,FY 2025 Total,FY 2026 Discretionary Enacted,FY 2026 PL 119-21 Spend Plan,FY 2026 Total,FY 2027 Discretionary Request,FY 2027 Mandatory Request,FY 2027 Total,Classification
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,13,0602145A,Next Generation Combat Vehicle Technology,Y,"167,383",,"167,383","169,297",,"169,297","70,540",,"70,540",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,14,0602146A,Network C3I Technology,Y,"105,577",,"105,577","107,029",,"107,029","53,373",,"53,373",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,15,0602147A,Long Range Precision Fires Technology,Y,"66,351",,"66,351","114,294",,"114,294","24,086",,"24,086",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,16,0602148A,Future Verticle Lift Technology,Y,"52,804",,"52,804","38,920",,"38,920","17,727",,"17,727",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,17,0602150A,Air and Missile Defense Technology,Y,"47,942",,"47,942","71,792",,"71,792","36,113",,"36,113",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,18,0602180A,Artificial Intelligence and Machine Learning Technologies,Y,"17,072",,"17,072","13,745",,"13,745",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,19,0602181A,All Domain Convergence Applied Research,Y,"12,088",,"12,088",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,20,0602182A,C3I Applied Research,Y,"25,281",,"25,281","26,317",,"26,317",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,21,0602183A,Air Platform Applied Research,Y,"42,356",,"42,356","63,305",,"63,305","43,700",,"43,700",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,22,0602184A,Soldier Applied Research,Y,"13,873",,"13,873","27,597",,"27,597","2,429",,"2,429",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,23,0602213A,C3I Applied Cyber,Y,"28,656",,"28,656","4,716",,"4,716",63,,63,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,24,0602275A,Electronic Warfare Applied Research,Y,,,,"45,415",,"45,415","51,184",,"51,184",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,25,0602276A,Electronic Warfare Cyber Applied Research,Y,,,,"17,102",,"17,102","9,857",,"9,857",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,26,0602345A,Unmanned Aerial Systems Launched Effects Applied Research,Y,,,,"18,408",,"18,408","22,871",,"22,871",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,27,0602386A,Biotechnology for Materials - Applied Research,Y,"10,496",,"10,496","8,209",,"8,209","14,979",,"14,979",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,29,0602785A,Manpower/Personnel/Training Technology,Y,"19,072",,"19,072","17,191",,"17,191","14,275",,"14,275",U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,30,0602787A,Medical Technology,Y,"64,842",,"64,842","186,793",,"186,793","149,221",,"149,221",U
2040A,"Research, Development, Test and Evaluation, Army",,02,Applied research,999,9999999999,Classified Programs,Y,"35,766",,"35,766","34,599",,"34,599","32,883",,"32,883",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,31,0603002A,Medical Advanced Technology,Y,"9,599",,"9,599","8,860",,"8,860","17,876",,"17,876",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,32,0603007A,"Manpower, Personnel and Training Advanced Technology",Y,"14,693",,"14,693","13,559",,"13,559","11,113",,"11,113",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,33,0603025A,Army Agile Innovation and Demonstration,Y,"14,075",,"14,075","44,150",,"44,150","3,325",,"3,325",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,34,0603040A,Artificial Intelligence and Machine Learning Advanced Technologies,Y,"25,025",,"25,025","37,487",,"37,487",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,35,0603041A,All Domain Convergence Advanced Technology,Y,"23,183",,"23,183","10,560",,"10,560","3,575",,"3,575",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,36,0603042A,C3I Advanced Technology,Y,"19,860",,"19,860","26,228",,"26,228","1,211",,"1,211",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,37,0603043A,Air Platform Advanced Technology,Y,"16,596",,"16,596","51,266",,"51,266","23,471",,"23,471",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,38,0603044A,Soldier Advanced Technology,Y,"13,580",,"13,580","10,807",,"10,807","3,951",,"3,951",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,39,0603116A,Lethality Advanced Technology,Y,"53,785",,"53,785","51,232",,"51,232","31,812",,"31,812",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,40,0603118A,Soldier Lethality Advanced Technology,Y,"100,309",,"100,309","166,186",,"166,186","125,121",,"125,121",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,41,0603119A,Ground Advanced Technology,Y,"89,885",,"89,885","187,007","1,500","188,507","25,043",,"25,043",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,42,0603134A,Counter Improvised-Threat Simulation,Y,"20,688",,"20,688","15,692",,"15,692",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,43,0603135A,Counter Small Unmanned Aerial Systems (C-SUAS) Advanced Technology,Y,,,,"7,773",,"7,773","156,520",,"156,520",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,44,0603275A,Electronic Warfare Advanced Technology,Y,,,,"85,922",,"85,922","156,326",,"156,326",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,45,0603276A,Electronic Warfare Cyber Advanced Technology,Y,,,,"15,254",,"15,254","15,278",,"15,278",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,46,0603345A,Unmanned Aerial Systems Launched Effects Advanced Technology Development,Y,,,,"13,898",,"13,898","33,129",,"33,129",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,47,0603386A,Biotechnology for Materials - Advanced Research,Y,"35,033",,"35,033","24,683",,"24,683","22,402",,"22,402",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,48,0603457A,C3I Cyber Advanced Development,Y,"39,616",,"39,616","29,829",,"29,829","8,509",,"8,509",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,49,0603461A,High Performance Computing Modernization Program,Y,"231,168",,"231,168","236,609",,"236,609","215,090",,"215,090",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,50,0603462A,Next Generation Combat Vehicle Advanced Technology,Y,"248,074",,"248,074","308,201",,"308,201","118,207",,"118,207",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,51,0603463A,Network C3I Advanced Technology,Y,"150,510",,"150,510","143,939",,"143,939","48,490",,"48,490",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,52,0603464A,Long Range Precision Fires Advanced Technology,Y,"174,160",,"174,160","184,206","155,700","339,906","422,590",,"422,590",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,53,0603465A,Future Vertical Lift Advanced Technology,Y,"173,161",,"173,161","111,686","8,401","120,087","14,984",,"14,984",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,54,0603466A,Air and Missile Defense Advanced Technology,Y,"60,451",,"60,451","59,080",,"59,080","63,924",,"63,924",U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,56,0603920A,Humanitarian Demining,Y,"22,934",,"22,934","36,349",,"36,349","7,619",,"7,619",U
2040A,"Research, Development, Test and Evaluation, Army",,03,Advanced technology development,999,9999999999,Classified Programs,Y,"155,526",,"155,526","70,537",,"70,537","80,717",,"80,717",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,58,0603305A,Army Missle Defense Systems Integration,Y,"19,886",,"19,886","17,641",,"17,641","8,367",,"8,367",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,59,0603308A,Army Space Systems Integration,Y,"32,132",,"32,132","92,580",,"92,580","59,573",,"59,573",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,60,0603327A,Air and Missile Defense Systems Engineering,Y,"30,000",,"30,000","100,000",,"100,000",,,,U
